"AC No","Name","District","Leading Candidate","Leading Party","Trailing Candidate","Trailing Party","Margin","Status"
"1","GUMMIDIPOONDI","Tiruvallur","S.VIJAYAKUMAR","TVK","SUDHAKAR.V","AIADMK","27945","Leading"
"2","PONNERI","Tiruvallur","DR.RAVI.M.S","TVK","DURAI CHANDRASEKAR","INC","55768","Leading"
"3","TIRUTTANI","Tiruvallur","G.HARI","AIADMK","M.SATHYA KUMAR","TVK","5793","Leading"
"4","THIRUVALLUR","Tiruvallur","DR. T. ARUNKUMAR","TVK","V.G. RAAJENDRAN","DMK","24760","Leading"
"5","POONAMALLEE","Tiruvallur","PRAKASAM.R","TVK","KRISHNASWAMY.A","DMK","72740","Leading"
"6","AVADI","Tiruvallur","R.RAMESH KUMAR","TVK","S.M.NASAR","DMK","76311","Leading"
"7","MADURAVOYAL","Chennai","RHEVANTH CHARAN","TVK","GANAPATHY. K","DMK","61509","Leading"
"8","AMBATTUR","Chennai","BALAMURUGAN.G","TVK","DR A.P. POORNIMA","DMK","58781","Leading"
"9","MADAVARAM","Chennai","M.L.VIJAYPRABHU","TVK","S.SUDHARSANAM","DMK","94985","Leading"
"10","THIRUVOTTIYUR","Chennai","SENTHIL KUMAR. N","TVK","SUNDARARAJ. L","CPI(M)","53564","Leading"
"11","DR.RADHAKRISHNAN NAGAR","Chennai","N. MARIE WILSON","TVK","J. JOHN EBENEZER","DMK","49668","Leading"
"12","PERAMBUR","Chennai","C. JOSEPH VIJAY","TVK","R.D. SHEKAR","DMK","53715","Leading"
"13","KOLATHUR","Chennai","V. S. BABU","TVK","M. K. STALIN","DMK","8795","Leading"
"14","VILLIVAKKAM","Chennai","AADHAV ARJUNA","TVK","KARTHIK MOHAN","DMK","17302","Leading"
"15","THIRU-VI-KA-NAGAR","Chennai","M. R. PALLAVI","TVK","K. S. RAVICHANDRAN","DMK","22333","Leading"
"16","EGMORE","Chennai","RAJMOHAN","TVK","TAMILAN PRASANNA","DMK","10804","Leading"
"17","ROYAPURAM","Chennai","K.V. VIJAY DAMU","TVK","DR. A. SUBAIR KHAN","DMK","14249","Leading"
"18","HARBOUR","Chennai","P K SEKARBABU","DMK","SINORA P S ASHOK","TVK","11750","Leading"
"19","CHEPAUK-THIRUVALLIKENI","Chennai","UDHAYANIDHI STALIN","DMK","SELVAM. D","TVK","7140","Leading"
"20","THOUSAND LIGHTS","Chennai","PRABHAKAR.J.C.D","TVK","EZHILAN NAGANATHAN","DMK","15141","Leading"
"21","ANNA NAGAR","Chennai","V.K.RAMKUMAR","TVK","N.CHITRARASU","DMK","21363","Leading"
"22","VIRUGAMPAKKAM","Kanchipuram","SABARINATHAN.R","TVK","PRABHAKARA RAJA.A.M.V","DMK","27086","Leading"
"23","SAIDAPET","Kanchipuram","ARUL PRAKASAM. M","TVK","SUBRAMANIAN. MA","DMK","28514","Leading"
